What is the daily requirement of folic acid for an expectant mother ?,family and parenting
What is the  7-minute cigarette  ?,health and fitness
What four forms does gold occur in ?,art and entertainment
What is the acreage of the Chappellet vineyard ?,business and industrial
How do you correctly say the word ` qigong  ?,sports
How much does a new railroad coal car cost ?,business and industrial
What two European countries entered the War of American Independence against the British ?,society
What is the filmmakers collabrative ?,art and entertainment
What Russian composer s Prelude in C Sharp Minor brought him fame and fortune ?,art and entertainment
What caused Harry Houdini s death ?,hobbies and interests
Who was the mother of the man who would not be king ,style and fashion
How many revolutions does a standard LP make in three minutes ?,business and industrial
What is the name of the tallest mountain in the world ?,sports
Where can I find a review of Nightmare on Elm Street in a film journal ?,art and entertainment
What s the slowest Olympic swimming stroke ?,health and fitness
What was the name of the first Russian astronaut to do a spacewalk ?,business and industrial
What disease is transmitted by the Anopheles mosquito ?,health and fitness
What rum is so  mixable  it is a one-brand bar ?,food and drink
How many South American countries have the letter Z in their names ?,travel
How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie ,"law, govt and politics"
What is paracetamol ?,health and fitness
