Who directed  Jaws  ?,art and entertainment
On what T.V. show could Tom Terrific be found ?,art and entertainment
What Indian tribe is F Troop perpetually doing battle with ?,"law, govt and politics"
Where did Indian Pudding come from ?,food and drink
Why do some clothing labels say  Use a nonchlorine bleach  ?,style and fashion
How many colonies were involved in the American Revolution ?,business and industrial
What is the name of the city that Maurizio Pellegrin lives in ?,travel
What game s board shows the territories of Irkutsk ,"law, govt and politics"
What is the name of the managing director of Apricot Computer ?,business and industrial
What is the occupation of Nicholas Cage ?,art and entertainment
Why do horseshoes bring luck ?,sports
What causes pneumonia ?,health and fitness
What are the three winter months in the southern hemisphere ?,travel
What does gringo mean ?,travel
What country contains Africa s northernmost point ?,travel
What therapy attempts to elicit the  primal scream  ?,health and fitness
Where is the Kalahari desert ?,travel
Which Ventura County police department seized the largest cocaine shipment in it s history ?,"law, govt and politics"
What dangles over the tongue from the palate ?,food and drink
Who created Dennis the Menace ?,art and entertainment
What dummy received an honorary degree from Northwestern University ?,education
