What is the name of the Islamic counterpart to the Red Cross ?,"law, govt and politics"
What does the policeman become in the Canadian edition of Monopoly ?,"law, govt and politics"
Who did Sonny Liston succeed as world heavyweight boxing champion ?,sports
What is the treatment for depression ?,health and fitness
What is  alternative  anymore ?,health and fitness
What was the name of Aristotle Onassis s yacht ?,science
Italy is the largest producer of what ?,travel
How many states did Richard Nixon carry in 1972 ?,"law, govt and politics"
What part did John Peter Zenger play in the deveopment of the newspaper in America ?,society
What country has the largest sheep population ?,society
What Asian city boasts the world s biggest bowling alley ?,sports
What kind of a sports team is the Wisconsin Badgers ?,sports
What is the smallest country in Africa ?,travel
What country was first to use the airplane as a weapon of war ,society
What flower did Vincent Van Gogh paint ?,art and entertainment
What s the official language of Algeria ?,"law, govt and politics"
What does the word LASER mean ?,technology and computing
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,food and drink
The Orange Bowl is located in what city ?,sports
What Peter Blatty novel recounts the horrors of Regan MacNeil s possession by the devil ?,society
What kind of nuts are used in marzipan ?,food and drink
How is it correct to say ` qigong  ?,sports
What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?,society
What World War I battle saw 6 ,society
What was the first U.S.-based team in the NHL ?,sports
How many Grammys did Michael Jackson win in 1983 ?,art and entertainment
What civilization invented the arch ?,technology and computing
How many boys play the game in Winslow Homer s 1872 painting Snap the Whip ?,art and entertainment
What causes someone to be ticklish ?,society
What term means a sexual attraction between a male and a female ?,society
What is Colin Powell best known for ?,"law, govt and politics"
What do Englishmen weigh themselves in ?,technology and computing
Who started the Dominos Pizza chain ?,food and drink
Who built the first pyramid ?,technology and computing
Why do we ask for the  check  and not the bill at a restaurant ?,"law, govt and politics"
When are sheep shorn ?,business and industrial
What fast food is prepared with a  secret blend of 11 herbs and spices ? ,food and drink
What does the  c  stand for in the equation E=mc2 ?,science
Name the On Stage character whose face was never seen .,art and entertainment
What are the signs of a country going into a recession ?,society
What cable network bills itself as  the family entertainer  ?,business and industrial
What two colors are you blind to if you suffer from protanopia ?,health and fitness
What garment was named for Bradley ,business and industrial
What does MSG stand for ?,food and drink
When do you plant winter wheat ?,business and industrial
What are the various ways in which one can measure IT User Satisfaction Level ?,business and industrial
What is Stefan Edberg s native country ?,art and entertainment
How does an abacus work ?,science
What was the first minimum wage ?,society
What country are Godiva chocolates from ?,food and drink
What do you get by mixing gin and vermouth ?,food and drink
What movie did Madilyn Kahn star in with Gene Wilder ?,art and entertainment
What knighted actor narrates TV s The World at War ?,society
Where can I get information and statistics on countries and nations ?,science
How much pizza do Americans eat in a day ?,food and drink
How long does it take the Milky Way Galaxy to make one revolution ?,technology and computing
What is the largest variety of cactus ?,food and drink
Where are some great educational resources for parents and teachers ?,business and industrial
What is different about the red and black fox ?,sports
Where is the Kentucky Horse Park located ?,sports
Who is the current UN Secretary General ?,"law, govt and politics"
What boxer s life story is titled Raging Bull ?,art and entertainment
What country do the Galapagos Islands belong to ?,art and entertainment
Why are there no white lines on pro footballs ?,sports
What is the origin of head lice ?,art and entertainment
What are the side effects of mevacor ?,health and fitness
What did Jimmy Stewart invent ?,art and entertainment
How many bytes are in a terabyte ?,technology and computing
What is IOC an abbreviation of ?,sports
Who painted  Soft Self-Portrait with Grilled Bacon  ?,food and drink
What is the origin of the ethnic category  caucasian  ?,art and entertainment
What singer became despondent over the death of Freddie Prinze ,art and entertainment
What lake is the source of the White Nile ?,travel
Which two products use a tiger as their symbol ?,technology and computing
What actor s autobiography is titled All My Yesterdays ?,art and entertainment
What is the difference between a bottle and a jar ?,food and drink
What kind of education do I need to become a flight attendant ?,travel
What are pomegranates ?,food and drink
Who was Thucydides ?,society
What two countries share the Khyber Pass ?,society
Which drug is commonly used to treat AIDS ?,health and fitness
How were the days of the week named ?,technology and computing
What s the sequel to Alice s Adventures in Wonderland ?,travel
Who was Randy Steven Craft s lawyer ?,art and entertainment
What does e.g. stand for ?,"law, govt and politics"
Which glamorous actress is a close friend of Dick Tracy ?,health and fitness
What Asian leader was known as The Little Brown Saint ?,society
How many elevators do you ride to reach the top floor of the Empire State Building ?,sports
What state has the longest Great Lakes shoreline ?,business and industrial
What is the former name of Zimbabwe ?,society
What molecules include fluorine ,business and industrial
Where is Sinn Fein s headquarters ?,"law, govt and politics"
How do I increase my biceps  size ?,sports
What is the term for the side of the mountain that faces the prevailing winds ?,science
What s the difference between sleet and freezing rain ?,science
What is a fear of drinking ?,health and fitness
How was Teddy Roosevelt related to FDR ?,society
Who made the most appearances in the center square on Hollywood Squares ?,travel
On what date did Rosa Parks Become a symbol of the civil rights movement for refusing to give up her seat on the bus ?,"law, govt and politics"
Name the operating system that runs on IBM-compatible machines .,technology and computing
What is website of the International Court of Justice ?,"law, govt and politics"
What is a neurosurgeon ?,science
What famed gangland slaughter cut into the membership of Bugs Moran s outfit ?,food and drink
How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?,"law, govt and politics"
What is the highest peak in Africa ?,travel
Aspartame is also called what ?,food and drink
What is the difference between a preface and a foreword ?,science
What country and western singer is known as The Silver Fox ?,sports
Where can I buy a good snowboard for less than $200 ?,sports
What 1966 boob tube bomb took astronauts back to prehistoric times ?,business and industrial
When was the women s suffrage amendment ratified ?,"law, govt and politics"
What is a courier ?,business and industrial
What do penguins eat ?,food and drink
Who was nicknamed The Little Corporal ?,"law, govt and politics"
What field sport did dentist William Beers promote and write a standard book of rules for ?,sports
In what year did Thatcher gain power ?,health and fitness
How much will the California be in the year 2000 ?,"law, govt and politics"
What number is at 12 o clock on a dartboard ?,sports
The Iraqis launched their attack on Kuwait on what day ?,"law, govt and politics"
What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?,art and entertainment
Where is the Kalahari desert ?,travel
What do the names Andrew and Christina mean ?,science
What two baseball players make up the battery ?,sports
How many earthworms are in a single pasture ?,business and industrial
What is viscosity ?,business and industrial
How does marl form and what mineral does it contain ?,business and industrial
For what reason did the Shea & Gould law firm close their L.A. office ?,business and industrial
How do you calculate the change in enthalpy of a chemical reaction ?,science
What are liver enzymes ?,science
What s the meaning of the Latin battle cry : Ad arma ,society
What does El Nino mean in spanish ?,science
What is the difference between Neoclassical art and Romanticism art ?,art and entertainment
How do I stop background noise in a car stereo ?,technology and computing
What are the medical purposes of  clitoridectomy  ?,science
What are some chemical properties of mendelevium ?,business and industrial
What cigarette company urged us ,business and industrial
What are the Poconos ?,travel
Describe the Finnish music personality Salonen s appearance .,art and entertainment
Who is Barbara Jordan ?,"law, govt and politics"
What country s people are the top television watchers ?,art and entertainment
When was  the Great Depression  ?,health and fitness
What are the words to  My Way  written by Paul Anka ?,art and entertainment
Name the disposable razor that  costs about 19 cents . ,business and industrial
What is BPH ?,health and fitness
What is Boston Kreme ?,food and drink
What s the difference and advantages of selecting a Super VHS VCR over plain VHS model ?,technology and computing
What company named one of its pens  The Banana  ?,technology and computing
What are the four largest mountain ranges on the Asian continent ?,science
What was the name of the Crimean meeting of Roosevelt ,society
Who holds the NFL record for most touchdowns in a season ?,sports
What gate opened on East and West Berlin ?,society
What is the approximate weight of a teaspoon of matter in a black hole ?,health and fitness
Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?,society
What is the abbreviated expression for the National Bureau of Investigation ?,science
What countries have the most auto thefts ?,society
How many years did it take James Joyce to write Ulysses ?,art and entertainment
What is the weakest bone in the body ?,science
What does a chairbound basophobic fear ?,health and fitness
What qualifications are there for individuals donating blood ?,health and fitness
Who made the first surfboard ?,sports
Who is the youngest of the Beatles ?,art and entertainment
Who were the five Marx brothers ?,art and entertainment
What is the largest natural lake in Pennsylvania ?,travel
What are different products of petroleum ?,business and industrial
What are the 7 Wonders of the World ?,science
What ocean surrounds the Madeira Islands ?,food and drink
What actor starred in 1980 s Blue Lagoon ,art and entertainment
What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?,society
Who was the first woman governor of Wyoming ?,business and industrial
What are some fun things to do in Cozumel ,travel
How can you stop the itch from poison ivy ?,health and fitness
In what year was De Gaulle elected president of France ?,travel
When it s time to relax ,travel
What London museum features a Chamber of Horrors ?,technology and computing
What is the electronic device used to produce visual displays corresponding to electric signals ?,technology and computing
What U.S. President was the first to breed mules ?,society
Name the tree growing company .,business and industrial
What two historical figures ,science
What United States President had dreamed that he was assassinated ?,travel
How does blood clot ?,science
What North American city would you visit to see Cleopatra s Needle ?,business and industrial
What is Greek pita ?,food and drink
How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?,sports
Who created private detective Philip Marlowe ?,society
What city is Logan Airport in ?,travel
Who were the Yankee s frequent enemies ?,sports
How much money was the minimum wage in 1991 ?,society
Where is your corpus callosum ?,health and fitness
What does caliente mean ,science
What ocean liner burned and sank in Hong Kong harbor ?,travel
What is the snowiest city in the U.S. ?,"law, govt and politics"
What is the medical condition of hypertension ?,health and fitness
Who played the Ringo Kid in the 1939 film Stagecoach ?,art and entertainment
How much energy is released when oxygen and hydrogen mix ?,business and industrial
When was the first practical commercial typewriter marketed ?,technology and computing
What developed a crack in 1835 while tolling the death of U.S. Chief Justice John Marshall ?,"law, govt and politics"
What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?,sports
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,"law, govt and politics"
What is the capital of Burkina Faso ?,travel
Who was the founding member of the Pink Floyd band ?,art and entertainment
Who are the two sons of Ozzie and Harriet Nelson ?,art and entertainment
What is the filmmakers collabrative ?,art and entertainment
Why are peanut butter cookies topped with crisscrosses ?,food and drink
What does the Latin ante mortem mean ?,society
Which is the wealthiest country in the world ?,art and entertainment
Where is the Valley of the Kings ?,science
What foods contain the most protein ?,food and drink
What is dew point ?,science
What is the meaning of thalassemia ?,health and fitness
What is hydroelectricity ?,business and industrial
When was the battle of the Somme fought ?,society
What type of food makes you fat ?,food and drink
What was Mel Gibson s first movie ?,art and entertainment
What is  the washed vodka  ?,food and drink
What was Franklin Roosevelt s program for economic recovery called during the Great Depression ?,health and fitness
What is Nitrox diving ?,sports
What is a fear of glass ?,health and fitness
What is the best Internet business to go into ?,business and industrial
What Caribbean island is northeast of Trinidad ?,travel
What U.S. general was court-martialled for criticizing American air power ?,society
What is meant by blood SED rate ?,health and fitness
Who created Big Ben ?,"law, govt and politics"
How do you recognize anorexia ?,health and fitness
